Token_ID_Greek,Token_Greek,Gospel,Token_ID_Armenian,Token_Armenian,Function,comment,Location,Greek_found,Armenian_found,where_found
342616.0,ἀλλ’,JOHN,800741.0,ayl,SUBST,,1.13,1,1,both_langs
342961.0,ἀλλ’,JOHN,801061.0,aył,ADVER,?,1.31,1,1,both_langs
342531.0,ἀλλ’,JOHN,800667.0,aył,ADVER,SUBST?,1.8,1,1,both_langs
351330.0,ἀλλὰ,JOHN,,,SUBST,,10.1,1,0,only_Gr
351611.0,ἄλλα,JOHN,808772.0,áył,UNID,ews,10.16,1,1,both_langs
351668.0,ἀλλ’,JOHN,808828.0,aył,SUBST,OPP?,10.18,1,1,both_langs
351722.0,ἄλλοι,JOHN,,,UNID,,10.21,1,0,only_Gr
351816.0,ἀλλὰ,JOHN,808963.0,Aył,ADVER,,10.26,1,1,both_langs
351940.0,ἀλλὰ,JOHN,809081.0,ayl,SUBST,,10.33,1,1,both_langs
351403.0,ἀλλὰ,JOHN,808583.0,aył,SUBST,,10.5,1,1,both_langs
351459.0,ἀλλ’,JOHN,854147.0,aył,ADVER,,10.8,1,1,both_langs
352328.0,ἀλλὰ,JOHN,809417.0,ayl,ADVER,,11.11,1,1,both_langs
,,JOHN,809433.0,Aył,ADVER,,11.13,0,1,only_Arm
352389.0,ἀλλὰ,JOHN,,,ADVER,,11.15,1,0,only_Gr
,,JOHN,809558.0,aył,ADVER,ew ?,11.22,0,1,only_Arm
352639.0,ἀλλ’,JOHN,854335.0,aył,SUBST,,11.30,1,1,both_langs
352189.0,ἀλλ’,JOHN,809301.0,aył,SUBST,,11.4,1,1,both_langs
352885.0,ἀλλὰ,JOHN,809918.0,aył,ADVER,,11.42,1,1,both_langs
353071.0,ἀλλὰ,JOHN,854529.0,aył,SUBST,,11.51,1,1,both_langs
353093.0,ἀλλ’,JOHN,854550.0,aył,SUBST,,11.52,1,1,both_langs
353125.0,ἀλλὰ,JOHN,854573.0,aył,SUBST,OPP?,11.54,1,1,both_langs
353517.0,ἀλλ’,JOHN,810499.0,Aył,ADVER,,12.16,1,1,both_langs
353762.0,ἀλλὰ,JOHN,810732.0,Aył,ADVER,,12.27,1,1,both_langs
